id;name;slug;description
1;ponder;behind;superior finally deceivingly
2;curiously worriedly;drat makeover;deduce storyboard
3;round up secularize;yuck;heroine variable bungalow
4;questionably;austere;sans austere
5;fooey;depart;why nor reluctantly
6;eek soon aggressive;since by;vary gee furthermore
7;darling;before yum outsource;shore
8;obligation because doodle;instead ack;preside obtrude unhappy
9;incandescence coil;continually stigmatize notwithstanding;drat madly
10;cleaner trick past;great;like expensive violently
