id;title;content;audience;channel;sent_at
1;aside;../fake-data/blob/hipster.txt;STAFF;IN_APP;2025-09-08T17:12:14
2;window fiddle;../fake-data/blob/hipster.txt;CUSTOMER;SMS;2025-09-08T23:50:28
3;atomize;../fake-data/blob/hipster.txt;CUSTOMER;EMAIL;2025-09-08T18:27:53
4;instead coin;../fake-data/blob/hipster.txt;ALL;EMAIL;2025-09-08T12:02:59
5;drat making considering;../fake-data/blob/hipster.txt;CUSTOMER;EMAIL;2025-09-08T21:16:11
6;obvious yuck engage;../fake-data/blob/hipster.txt;CUSTOMER;EMAIL;2025-09-08T11:56:40
7;outfit annex;../fake-data/blob/hipster.txt;ALL;EMAIL;2025-09-09T02:23:04
8;likewise;../fake-data/blob/hipster.txt;ALL;EMAIL;2025-09-09T05:19:48
9;as;../fake-data/blob/hipster.txt;CUSTOMER;IN_APP;2025-09-09T04:02:29
10;grimy;../fake-data/blob/hipster.txt;ALL;IN_APP;2025-09-08T10:02:18
