id;is_read;delivered_at;read_at;notification_id;customer_id
1;false;2025-09-08T22:14:41;2025-09-09T03:39:58;1;1
2;true;2025-09-09T07:10:24;2025-09-08T10:59:59;2;2
3;true;2025-09-08T15:56:35;2025-09-09T05:01:57;3;2
4;true;2025-09-08T11:43:12;2025-09-08T18:23:45;4;2
5;true;2025-09-09T00:18:45;2025-09-08T15:14:17;5;1
6;false;2025-09-08T15:00:22;2025-09-08T17:47:29;6;2
7;false;2025-09-08T11:01:45;2025-09-08T10:19:53;7;1
8;true;2025-09-09T03:57:09;2025-09-08T12:17:21;8;1
9;true;2025-09-08T21:52:53;2025-09-08T22:33:38;9;2
10;false;2025-09-09T00:31:56;2025-09-08T19:24:23;10;1
