id;name;type;value;start_at;end_at;active
1;card misread;FIXED;24532.92;2025-09-08T22:16:01;2025-09-09T05:16:10;true
2;boo greatly;PERCENTAGE;519.73;2025-09-09T04:25:33;2025-09-08T13:39:48;false
3;and;PERCENTAGE;14086.8;2025-09-09T00:42:22;2025-09-08T12:29:15;false
4;outlying yawningly fast;FIXED;27340.3;2025-09-08T21:53:41;2025-09-09T05:12:32;true
5;verve;PERCENTAGE;16449.34;2025-09-08T17:43:25;2025-09-09T04:26:59;true
6;ragged;FIXED;20762.79;2025-09-08T10:14:12;2025-09-09T00:54:29;false
7;beside oxidize than;PERCENTAGE;11206.7;2025-09-08T19:02:26;2025-09-08T09:08:28;false
8;till;FIXED;1116.32;2025-09-08T14:36:57;2025-09-08T19:09:37;false
9;stool drowse;PERCENTAGE;19429.55;2025-09-08T08:13:13;2025-09-09T05:34:10;false
10;unknown or;FIXED;785.25;2025-09-08T14:45:40;2025-09-08T22:54:55;true
