id;code;name;description;phone;email;address;city;country;opening_hours;created_at;updated_at
1;treasure;serenade now from;language imagineer depot;583.875.8874 x2425;"O@2CTT(I.\9;7q";off;North Virgiefurt;Argentina;hairy save;2025-09-09T07:48:12;2025-09-09T06:29:33
2;jogging captain fast;duh majority entice;shakily dicker;(958) 865-0055 x1001;"r<3])y@TB?5*8.T";hm even;New Tommieland;Grenada;nougat until although;2025-09-09T08:14:51;2025-09-08T23:24:23
3;boo;popularity provided before;gosh serpentine;750.371.1082 x447;"{7{gr@~2.A";inside;Breitenbergfurt;North Macedonia;anaesthetise circa;2025-09-08T17:07:38;2025-09-08T18:15:26
4;that zesty shaft;reservation psst;when spanish;1-702-509-6551 x44325;">%`@|\]tWi.<";since amongst;East Shirley;Saint Kitts and Nevis;season cemetery;2025-09-08T18:21:06;2025-09-09T08:17:16
5;geez;without netsuke;elegantly mechanically loyally;313-710-9933 x927;"u@U.ZnQK";ouch;Domenicville;Albania;briskly wildly and;2025-09-08T18:27:22;2025-09-09T09:16:53
6;knowledgeable;apud;shampoo fussy cinema;1-590-469-3639 x8800;"y.+@oIK+/g.V7^#+";pacemaker;Bulahport;Reunion;whenever instead;2025-09-08T17:09:05;2025-09-08T20:52:05
7;because;among before;coexist during even;689-989-4067 x46066;",BCb@z0r.<";worriedly abnormally;Arlington Heights;Haiti;moisten from yet;2025-09-08T21:01:55;2025-09-09T05:48:39
8;save;although that whether;drat fen;613.305.6874 x43363;"|t`Vh@9r)s.v1";ew;Rueckerberg;Faroe Islands;but readmit er;2025-09-08T21:22:40;2025-09-09T01:15:14
9;hornet;undergo lest;unaccountably qua but;636.805.2585 x40312;"nT]B08@Xs.H^";coaxingly availability;Port Kingville;Congo;steep phew joyfully;2025-09-09T01:11:04;2025-09-08T13:39:38
10;woot;frozen homely;oddly minor;992-290-6639 x61782;"hM3@S9.2?u";zesty;Murazikside;Tunisia;conclude haircut woot;2025-09-08T23:38:05;2025-09-09T03:38:58
