id;name;contact_name;contact_email;contact_phone;tax_code;address_text
1;powerful;limited tensely;"blzc@#|.}Ed'SP";among unlearn but;fork;brown hospitalization or
2;slake oof;strategy oh empty;"$e@RQ.5D}&7(";beneath;boo tune-up rim;boo however
3;nasalise fisherman bravely;impractical;"%,R;.@R2t:D_.rB0";chime past;those fast;for
4;each underplay;regulate until status;"BUmV>r@P1uK;.eNO";meal;crazy;vice quarrel instead
5;casket meanwhile or;ouch conclude near;"hu6|@bf3F.2b9I";frightfully smoothly;phooey;zowie carnival
6;lest;pulp fooey;"P)ukD@HpYo28./nih`K";demobilise gosh knowingly;for;acidly suburban
7;zowie into grandson;doubtfully kettledrum;"3BBo@fD\8d`.k:";now;toothbrush;ew even
8;since entice;impish mid;"L@8;U.y";underneath truthfully inasmuch;inasmuch fluffy devastation;justly language
9;truly apud;internalise cutover;"T@e.|2*";when;distinction ick;bump
10;huzzah;failing;"`Z&K@hmQ^Y.u2B:";per that;comestible;luck riser godfather
